sysname	chr	type	start	stop	orientation	genename	RNAseq_Brar_00_EXP	RNAseq_Brar_01_preMeiosis	RNAseq_Brar_02_DNArep	RNAseq_Brar_03_LepZyg	RNAseq_Brar_04_PachDip	RNAseq_Brar_05_Met1	RNAseq_Brar_06_Ana1	RNAseq_Brar_07_Met2	xRNAseq_Brar_08_Ana2	RNAseq_Brar_09_SporeEarly	RNAseq_Brar_10_SporeLate
YAL066W	1	gene	10091	10399	+	Dubious_ORF	0.2	5.4	8.7	3.5	6.3	7.6	16.8	7.9	2.9	2.3	8.4
YAL066W_mRNA	1	mRNA	10091	10399	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	11565	11951	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL065C	1	gene	11565	11951	-	Dubious_ORF	60.4	19.4	20.2	11.3	19.4	29.8	25.7	25.2	31	18	112.1
YAL065C_mRNA	1	mRNA	11565	11951	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	12046	12426	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL064W-B	1	gene	12046	12426	+	Dubious_ORF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL064W-B_mRNA	1	mRNA	12046	12426	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	13363	13743	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL064C-A	1	gene	13363	13743	-	TDA8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL064C-A_mRNA	1	mRNA	13363	13743	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	21566	21850	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL064W	1	gene	21566	21850	+	Dubious_ORF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL064W_mRNA	1	mRNA	21566	21850	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YALWdelta1	1	long_terminal_repeat	22230	22552	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	22395	22685	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL063C-A	1	gene	22395	22685	-	Dubious_ORF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL063C-A_mRNA	1	mRNA	22395	22685	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	region	24000	27968	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	24000	27968	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL063C	1	gene	24000	27968	-	FLO9	133.8	3.9	3.3	2.6	3.8	3.1	5.1	4	20.3	3.1	20.9
YAL063C_mRNA	1	mRNA	24000	27968	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS104	1	ARS	30946	31183	.		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS104_ARS_consensus_sequence	1	ARS_consensus_sequence	31002	31018	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	31567	32940	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL062W	1	gene	31567	32940	+	GDH3	1.1	189.7	251.1	126.7	123.2	199.5	109	51.6	55.3	113.4	134
YAL062W_mRNA	1	mRNA	31567	32940	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	33448	34701	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL061W	1	gene	33448	34701	+	BDH2	2.4	250.8	47.3	51	56.1	77.1	143.8	174.3	147.6	99	90.2
YAL061W_mRNA	1	mRNA	33448	34701	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	35155	36303	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL060W	1	gene	35155	36303	+	BDH1	202.7	343.7	181.3	136.8	94.4	84.4	66.5	54.4	52.7	109.8	88
YAL060W_mRNA	1	mRNA	35155	36303	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	36496	36918	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL059C-A	1	gene	36496	36918	-	Dubious_ORF	0.4	0.2	0	0	0.3	0	1	0	0	1.1	0.3
YAL059C-A_mRNA	1	mRNA	36496	36918	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	36509	37147	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL059W	1	gene	36509	37147	+	ECM1	400.4	411.3	152.7	209.9	107.1	73.8	35	57.7	31.5	68.6	174.1
YAL059W_mRNA	1	mRNA	36509	37147	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	37464	38972	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL058W	1	gene	37464	38972	+	CNE1	36.9	31.3	52.3	44	35.2	32.6	12.5	9	4.3	7.6	18.2
YAL058W_mRNA	1	mRNA	37464	38972	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	38696	39046	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL056C-A	1	gene	38696	39046	-	Dubious_ORF	0.7	0.5	0.9	0.9	0.9	2.2	0	0.7	0	2.7	2.2
YAL056C-A_mRNA	1	mRNA	38696	39046	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	39259	41901	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL056W	1	gene	39259	41901	+	GPB2	13.1	81.8	53.5	61.2	45.4	38.1	23	21.3	16.1	35.8	74.7
YAL056W_mRNA	1	mRNA	39259	41901	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS105	1	ARS	41992	42151	.		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	42177	42719	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL055W	1	gene	42177	42719	+	PEX22	11.6	26.1	19.9	21.2	30.4	44.6	59.4	206.9	341.1	696.4	274.6
YAL055W_mRNA	1	mRNA	42177	42719	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	42881	45022	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL054C	1	gene	42881	45022	-	ACS1	3.4	955.2	1192.4	1133.1	1909.1	2099.2	832.7	448	292.5	160	698.9
YAL054C_mRNA	1	mRNA	42881	45022	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	45899	48250	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL053W	1	gene	45899	48250	+	FLC2	48.7	297.5	186.8	263.7	208.1	179.4	83	63.3	42	95.3	263.1
YAL053W_mRNA	1	mRNA	45899	48250	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	48564	51707	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL051W	1	gene	48564	51707	+	OAF1	17.6	19.5	22.4	28.9	37.5	35.5	27	23	21.4	27.5	36.9
YAL051W_mRNA	1	mRNA	48564	51707	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	51855	52595	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL049C	1	gene	51855	52595	-	AIM2	176.9	321.4	458.8	352.4	298.9	191.8	98.6	85.4	52.1	119.3	138.6
YAL049C_mRNA	1	mRNA	51855	52595	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	52801	54789	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL048C	1	gene	52801	54789	-	GEM1	12	23.2	31.5	28.7	20.7	19.7	12.1	8.7	5.1	8.2	22.4
YAL048C_mRNA	1	mRNA	52801	54789	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	54584	54913	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL047W-A	1	gene	54584	54913	+	Dubious_ORF	1.3	1.4	4.3	7.1	2	3.2	0	0.8	0	0	0.4
YAL047W-A_mRNA	1	mRNA	54584	54913	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	54989	56857	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL047C	1	gene	54989	56857	-	SPC72	17.6	11.4	23	20.8	16.1	15.6	7.6	9.7	6.8	21.1	23.6
YAL047C_mRNA	1	mRNA	54989	56857	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	57029	57385	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL046C	1	gene	57029	57385	-	AIM1	62.9	57.8	50.7	54.6	61.5	49	42.3	34.7	49.4	83	36.3
YAL046C_mRNA	1	mRNA	57029	57385	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	57488	57796	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL045C	1	gene	57488	57796	-	Dubious_ORF	0.5	0.8	1.5	1	0	0.8	0	0.8	1	2.3	0.8
YAL045C_mRNA	1	mRNA	57488	57796	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	57518	57850	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL044W-A	1	gene	57518	57850	+	Dubious_ORF	58.2	136.4	129.3	133.9	135.6	95.7	93.2	78.4	97.5	96.9	97.7
YAL044W-A_mRNA	1	mRNA	57518	57850	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	57950	58462	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL044C	1	gene	57950	58462	-	GCV3	686.7	1252.7	1225.2	1442.9	1517.2	1207.2	1233.2	833.9	1193.6	1090.1	547.4
YAL044C_mRNA	1	mRNA	57950	58462	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	58695	61052	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL043C	1	gene	58695	61052	-	PTA1	21.5	16.7	18.5	17.1	26.3	34.6	34.4	38.6	39.4	21.1	29.6
YAL043C_mRNA	1	mRNA	58695	61052	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	61231	61608	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL042C-A	1	gene	61231	61608	-	Dubious_ORF	0	0.2	0	0.8	1.4	0.7	0	0.5	1.2	1.3	0
YAL042C-A_mRNA	1	mRNA	61231	61608	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	61316	62563	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL042W	1	gene	61316	62563	+	ERV46	115.9	86.2	67.4	61.6	52.3	42.1	31.3	21.2	20.5	35.7	31.7
YAL042W_mRNA	1	mRNA	61316	62563	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	62840	65404	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL041W	1	gene	62840	65404	+	CDC24	31.7	27.4	40.3	37.5	38.3	41.4	39	25.5	24	29.4	49.8
YAL041W_mRNA	1	mRNA	62840	65404	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	region	65778	67520	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	65778	67520	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL040C	1	gene	65778	67520	-	CLN3	25.4	25.3	26.6	12.1	10.9	29.4	14.5	4.4	8.7	10.1	12.8
YAL040C_mRNA	1	mRNA	65778	67520	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	68716	69525	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL039C	1	gene	68716	69525	-	CYC3	46.7	77.2	62.9	45.8	67.4	47.6	37.1	30.4	51.3	134.4	59.3
YAL039C_mRNA	1	mRNA	68716	69525	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS106	1	ARS	70300	70469	.		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS106_ARS_consensus_sequence	1	ARS_consensus_sequence	70418	70434	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	71786	73288	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL038W	1	gene	71786	73288	+	CDC19	1800.6	172.2	108.1	67	49.6	77.5	50.5	21.4	39.1	23.6	500.4
YAL038W_mRNA	1	mRNA	71786	73288	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	72326	73300	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL037C-B	1	gene	72326	73300	-	Dubious_ORF	0	0.1	0.6	0.2	0.7	0.3	0	0.3	0	0.5	0
YAL037C-B_mRNA	1	mRNA	72326	73300	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	73426	73518	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL037C-A	1	gene	73426	73518	-	Dubious_ORF	1	4.4	142.3	66.4	60.3	54.2	42.4	22.9	11.3	5.2	15.6
YAL037C-A_mRNA	1	mRNA	73426	73518	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	74020	74823	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL037W	1	gene	74020	74823	+	Dubious_ORF	9.1	16.4	94.9	68.2	53.1	40.5	25.1	18.6	11.6	2.4	12.9
YAL037W_mRNA	1	mRNA	74020	74823	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	75043	76152	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL036C	1	gene	75043	76152	-	RBG1	256.8	142.4	95.4	104.7	61.7	37.7	13.5	16.4	7.7	17.8	98.1
YAL036C_mRNA	1	mRNA	75043	76152	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	76427	79435	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL035W	1	gene	76427	79435	+	FUN12	130.5	85.3	50.5	61	61.9	57.2	29.4	17.8	16.2	21.4	131.5
YAL035W_mRNA	1	mRNA	76427	79435	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	79489	79842	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL034C-B	1	gene	79489	79842	-	Dubious_ORF	0.1	0	0.4	0.9	2.1	5.1	1.2	1.2	1.7	0	0
YAL034C-B_mRNA	1	mRNA	79489	79842	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	79718	80587	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL034W-A	1	gene	79718	80587	+	MTW1	21.8	34.7	57.3	69.1	53.8	46.4	47.9	45.3	35.3	31.7	45.1
YAL034W-A_mRNA	1	mRNA	79718	80587	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	80710	81951	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL034C	1	gene	80710	81951	-	FUN19	6.8	136.5	46.5	39.5	50.9	39.8	21.8	14	14.5	29.9	34.9
YAL034C_mRNA	1	mRNA	80710	81951	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	82706	83227	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL033W	1	gene	82706	83227	+	POP5	171.3	81.6	131.2	83.4	65.2	44.4	33	37.7	25.8	38.4	58.5
YAL033W_mRNA	1	mRNA	82706	83227	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	83335	84474	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL032C	1	gene	83335	84474	-	PRP45	21.8	71.3	40.5	42.6	44.5	41.8	23	20.8	21.8	38.8	57.1
YAL032C_mRNA	1	mRNA	83335	84474	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	84669	84977	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL031W-A	1	gene	84669	84977	+	Dubious_ORF	0	0.8	1	0	0.3	0	0	0	0	0	0
YAL031W-A_mRNA	1	mRNA	84669	84977	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	84749	87031	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL031C	1	gene	84749	87031	-	GIP4	13.1	27	26.5	28.1	43.8	40.1	33.8	24.7	22.1	22.6	32.3
YAL031C_mRNA	1	mRNA	84749	87031	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	87286	87387	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL030W	1	gene	87286	87752	+	SNC1	32.4	121.9	107.8	164.5	263.6	230.5	166.2	150.7	172.3	82.7	200.7
YAL030W_mRNA	1	mRNA	87286	87752	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	intron	87388	87500	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	87501	87752	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	87855	92270	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL029C	1	gene	87855	92270	-	MYO4	48.8	21.1	37.5	38.9	38.3	64	50	27.4	10.9	8.3	25.2
YAL029C_mRNA	1	mRNA	87855	92270	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	92900	94486	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL028W	1	gene	92900	94486	+	FRT2	5.4	14.3	13.4	17.9	19.9	17.4	10.8	9	7.5	23.4	17.6
YAL028W_mRNA	1	mRNA	92900	94486	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	94687	95472	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL027W	1	gene	94687	95472	+	SAW1	51	61.7	79.8	60.1	46.5	41.1	36.6	56.9	38.7	41.8	72.8
YAL027W_mRNA	1	mRNA	94687	95472	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	95386	95823	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL026C-A	1	gene	95386	95823	-	Dubious_ORF	30.1	17.5	46	40	73.2	84.1	186.2	233.8	180	114.9	278.3
YAL026C-A_mRNA	1	mRNA	95386	95823	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	95630	99697	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL026C	1	gene	95630	99697	-	DRS2	16.4	17.4	26.1	30.4	47.9	90.5	134.6	131.3	106.9	52.6	48.2
YAL026C_mRNA	1	mRNA	95630	99697	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	noncoding_exon	99305	99868	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HRA1	1	ncRNA_gene	99305	99868	+	HRA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	region	100225	101145	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	100225	101145	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL025C	1	gene	100225	101145	-	MAK16	292.4	239.3	111	136.4	66.4	24.3	14.5	26.5	20.9	53.8	200.1
YAL025C_mRNA	1	mRNA	100225	101145	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	101565	105872	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL024C	1	gene	101565	105872	-	LTE1	12.3	7	14.5	15.8	16.4	17.1	12.9	11.4	11.5	11.5	21.3
YAL024C_mRNA	1	mRNA	101565	105872	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	106272	108551	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL023C	1	gene	106272	108551	-	PMT2	77.3	27.8	64.8	62	67	76.7	61.3	44.3	54.2	31.4	34
YAL023C_mRNA	1	mRNA	106272	108551	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	108877	110430	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL022C	1	gene	108877	110430	-	FUN26	47	35.2	54.3	31.3	30.5	21.1	21.3	16.3	15.1	29.1	31.1
YAL022C_mRNA	1	mRNA	108877	110430	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	110846	113359	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL021C	1	gene	110846	113359	-	CCR4	29.1	21.7	31	23.3	30.7	37.4	24.1	14.2	10.9	24.5	25.8
YAL021C_mRNA	1	mRNA	110846	113359	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	113614	114615	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL020C	1	gene	113614	114615	-	ATS1	25.1	13.9	13.1	17.7	16.7	14	6.9	6.3	2.4	2.1	7.5
YAL020C_mRNA	1	mRNA	113614	114615	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	114250	114819	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL019W-A	1	gene	114250	114819	+	Dubious_ORF	0.3	0.1	0.3	0.5	0.6	0.9	3	3.2	3.9	1.7	0.7
YAL019W-A_mRNA	1	mRNA	114250	114819	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	114919	118314	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL019W	1	gene	114919	118314	+	FUN30	38.7	32.7	30.9	27.9	19.5	19.2	11.9	17.1	14.4	19.1	36.7
YAL019W_mRNA	1	mRNA	114919	118314	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	118564	119541	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL018C	1	gene	118564	119541	-	LDS1	1	2	4.9	305.7	1102.9	3793.8	6557.5	2754.8	2109.5	805.1	1075.2
YAL018C_mRNA	1	mRNA	118564	119541	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	120225	124295	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL017W	1	gene	120225	124295	+	PSK1	9.6	50.9	42.5	44.5	51.6	53	74.4	63.5	63.9	64	60.9
YAL017W_mRNA	1	mRNA	120225	124295	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	124307	124492	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL016C-B	1	gene	124307	124492	-	Dubious_ORF	0	0	0	0	0	0	0	0.5	0	0	0
YAL016C-B_mRNA	1	mRNA	124307	124492	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS107	1	ARS	124349	124597	.		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARS107_ARS_consensus_sequence	1	ARS_consensus_sequence	124463	124479	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	124755	125069	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL016C-A	1	gene	124755	125069	-	Dubious_ORF	0.2	0.3	0	0.5	0	0	0	0	0	0.8	0
YAL016C-A_mRNA	1	mRNA	124755	125069	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	124879	126786	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL016W	1	gene	124879	126786	+	TPD3	100.8	227.5	156.1	168.3	138.8	107.1	55.1	44.2	28.4	60.8	140.1
YAL016W_mRNA	1	mRNA	124879	126786	+		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	126903	128102	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
YAL015C	1	gene	126903	128102	-	NTG1	40.5	57.3	50.6	54.2	32.2	28.4	18.6	9.6	7.3	9.9	17.6
YAL015C_mRNA	1	mRNA	126903	128102	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1	CDS	128252	129019	-		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
