Chr	Start	End
4	215757	216046
4	217326	217442
4	219379	219569
4	221289	221403
4	221405	221444
4	221910	222236
4	223812	224002
4	226902	227479
4	228959	229126
4	230639	231147
4	232089	232563
4	234078	234765
4	235588	235751
4	238728	238943
4	239538	240182
4	241225	241382
4	242032	242313
4	245617	245847
4	248012	248148
4	251317	251546
4	253843	254145
4	255138	255584
4	258440	258871
4	264080	264451
4	264925	265277
4	266812	267768
4	268857	269058
4	271909	272614
4	273570	274087
4	276594	276777
4	281755	282128
4	283183	283377
4	285173	285348
4	286626	287224
4	289621	289836
4	292565	292687
4	294836	295016
4	296321	296668
4	298081	298179
4	300219	300304
4	300985	301381
4	301939	303457
4	304831	305108
4	307885	308331
4	310197	310455
4	312218	313109
4	313898	315505
4	316408	316807
4	320245	320444
4	321660	322131
4	323691	323906
4	326230	326387
4	330565	331016
4	334255	334811
4	337304	337449
4	340307	340435
4	341273	341459
4	345012	345591
4	351208	351431
4	352614	352751
4	356798	357526
4	361389	361547
4	362433	362603
4	363633	363857
4	366021	366943
4	368425	369507
4	373789	373910
4	375356	375472
4	378348	378674
4	381512	381706
4	385685	387599
4	407458	407800
4	411204	411657
4	413229	413784
4	416928	417194
4	421746	421963
4	423599	423733
4	423979	424108
4	432069	432248
4	442424	442558
4	444251	444352
4	447714	447824
4	452724	452955
4	461413	461606
4	463075	463258
4	465219	465845
4	471553	471756
4	477615	477777
4	482001	482099
4	482338	482605
4	485410	485689
4	486534	486649
4	489238	489341
4	501357	501761
4	504862	505077
4	506166	506401
4	506844	507010
4	507335	507652
4	512151	512530
4	518972	519125
4	519773	519828
4	521455	521564
4	538805	539666
4	543675	543988
4	545953	546577
4	548536	548644
4	550525	552009
4	553055	553153
4	556614	556975
4	558161	558272
4	560772	560998
4	562510	563233
4	565691	565862
4	568824	569078
4	569875	570077
4	570323	570513
4	573859	574054
4	575901	576126
4	579195	579356
4	587753	587983
4	588618	588693
4	589359	589733
4	591448	592436
4	592983	593981
4	598253	598390
4	599624	600928
4	602900	603037
4	610137	610398
4	611887	611987
4	613076	613219
4	614076	614204
4	616161	616711
4	617181	617700
4	619883	620179
4	621298	622167
4	623097	623527
4	624900	624979
4	626050	626371
4	628391	630122
4	630459	631433
4	635905	637102
4	643917	644169
4	644981	645295
4	650389	650619
4	651288	651544
4	652302	652667
4	653229	653331
4	654716	655012
4	655250	655402
4	657492	657820
4	658067	658274
4	664938	665177
4	666821	666991
4	667465	668068
4	668452	668556
4	668859	668943
4	671022	671248
4	674219	675084
4	675525	676155
4	679328	679523
4	679757	680542
4	681687	682159
4	685719	685826
4	687865	688133
4	690269	691157
4	693260	693455
4	694191	694425
4	698965	700409
4	702649	703251
4	703714	704736
4	709087	709786
4	711416	711467
4	715270	715715
4	716600	716901
4	718540	718655
4	720116	720724
4	721229	723146
4	727587	728244
4	730292	730628
4	731477	731674
4	733963	734066
4	740021	740182
4	741741	742151
4	743987	744267
4	746201	746781
4	750896	751828
4	754979	755732
4	765000	765937
4	766774	766917
4	767843	770673
4	771607	771812
4	775820	775991
4	778836	778951
4	781202	781399
4	784197	785108
4	785822	785901
4	787338	787590
4	789254	789451
4	790028	790434
4	792069	792131
4	793701	794934
4	795299	795594
4	802450	802820
4	803712	803928
4	805832	806881
4	807806	808383
4	811399	812404
4	814014	814768
4	816574	816824
4	817446	818079
4	819193	819362
4	820862	821348
4	826326	826567
4	827340	827652
4	829412	829517
4	831298	832798
4	834661	837161
4	838124	838458
4	841864	842545
4	844842	845429
4	847735	848703
4	849547	849690
4	850980	851219
4	854005	854162
4	855886	856526
4	857925	858207
4	859123	859373
4	861306	861890
4	866463	867004
4	867550	868115
4	870680	871065
4	878264	878347
4	880041	880308
4	883162	883420
4	884134	884650
4	887009	887120
4	889001	889558
4	892443	892718
4	893516	895023
4	903560	903665
4	904160	904215
4	905089	905250
4	907084	907277
4	909292	910043
4	911386	911683
4	914875	915281
4	916079	916539
4	917265	917391
4	923815	924190
4	924469	924701
4	925684	927729
4	930138	931338
4	933313	933473
4	935896	936484
4	940843	941066
4	943438	943650
4	945220	945320
4	945827	945964
4	946247	946702
4	950221	950529
4	952469	952711
4	954078	956217
4	958460	958584
4	959564	960678
4	964800	965044
4	967875	968016
4	969756	970049
4	974366	974537
4	976033	976918
4	977297	977370
4	979285	979505
4	991604	991838
4	992672	993366
4	995690	995749
4	998269	998891
4	1002039	1002599
4	1003536	1003976
4	1004984	1005911
4	1008820	1008920
4	1009912	1010127
4	1011197	1012359
4	1013620	1014424
4	1015886	1016428
4	1019168	1019226
4	1020411	1020585
4	1021737	1023084
4	1030276	1030478
4	1031714	1032363
4	1035591	1035946
4	1036972	1037181
4	1039544	1039820
4	1045056	1045515
4	1049456	1050619
4	1052297	1052453
4	1054377	1056939
4	1058961	1059744
4	1062831	1063337
4	1067471	1067727
4	1071257	1071819
4	1072599	1072705
4	1073509	1073573
4	1075192	1075436
4	1075657	1075715
4	1078590	1078630
4	1079877	1081315
4	1084567	1085052
4	1087055	1087415
4	1089981	1090411
4	1092516	1092750
4	1093472	1093800
4	1095352	1095503
4	1096572	1096792
4	1101946	1102108
4	1103556	1103741
4	1105868	1106118
4	1107886	1108806
4	1110237	1110573
4	1112282	1112547
4	1114135	1114230
4	1116705	1117127
4	1125112	1125350
4	1125860	1126266
4	1127575	1127831
4	1129375	1129592
4	1135467	1135739
4	1140534	1141060
4	1144944	1145250
4	1146041	1146293
4	1149313	1150090
4	1150483	1151018
4	1153560	1153920
4	1161407	1162946
4	1163409	1163616
4	1166427	1166660
4	1168731	1169270
4	1172081	1172276
4	1174286	1174487
4	1174855	1175016
4	1181458	1181560
4	1183024	1183202
4	1183676	1183805
4	1184462	1184590
4	1189810	1189929
4	1194956	1195336
4	1198843	1198954
4	1201879	1201943
4	1206479	1206632
4	1207514	1207719
4	1212649	1212787
4	1213631	1214179
4	1214987	1215073
4	1219108	1219318
4	1222509	1222688
4	1226583	1226676
4	1228385	1228502
4	1229628	1229762
4	1233594	1234117
4	1236238	1236465
4	1241530	1241796
4	1242066	1243280
4	1249942	1250162
4	1251600	1252302
4	1256873	1257137
4	1258066	1258671
4	1261374	1261596
4	1262990	1263218
4	1266600	1266742
4	1266923	1267405
4	1269375	1270129
4	1270777	1271041
4	1273994	1274162
4	1277417	1277601
4	1278047	1280113
4	1288035	1288236
4	1288908	1289529
4	1292433	1292490
4	1293149	1293353
4	1294282	1294761
4	1295408	1296003
4	1296864	1297031
4	1298217	1298351
4	1301011	1301560
4	1303044	1303121
4	1304049	1304187
4	1305594	1305989
4	1311799	1311977
4	1312624	1312710
4	1317882	1318075
4	1319207	1319490
4	1319839	1319996
4	1321990	1322184
4	1325361	1325504
4	1328493	1328800
4	1330943	1331105
4	1333648	1334929
4	1337101	1337322
4	1337805	1338252
4	1339255	1339607
4	1341945	1342562
4	1344238	1344287
4	1344990	1345754
4	1349627	1349755
4	1349995	1350233
4	1353579	1353655
4	1355637	1355985
4	1359023	1359175
4	1359602	1359822
4	1362214	1362934
4	1364563	1364712
4	1365410	1365625
4	1365827	1365977
4	1366354	1366483
4	1366830	1367460
4	1369456	1369684
4	1382107	1382208
4	1383277	1383745
4	1384900	1385066
4	1385714	1386066
4	1386577	1386783
4	1387511	1387604
4	1388630	1388741
4	1394611	1395050
4	1398847	1398937
4	1401413	1401652
4	1402772	1403144
4	1405925	1406021
4	1409286	1409397
4	1410009	1412247
4	1416755	1417400
4	1419861	1421403
4	1422547	1422747
4	1429544	1429590
4	1433418	1433898
4	1434311	1434844
4	1436701	1436899
4	1443499	1443630
4	1445571	1445829
4	1447024	1447801
4	1454506	1454908
4	1459344	1459752
4	1466012	1466164
4	1468324	1469335
4	1470783	1471011
4	1476427	1477513
4	1478421	1478568
4	1487352	1487542
4	1489093	1489280
4	1489959	1490501
4	1497977	1498114
4	1507387	1507671
4	1517830	1518219
4	1526769	1527213
4	1527377	1527575
4	1528203	1528316
5	300	614
5	1483	1519
5	2655	3081
5	3803	4245
5	4614	5274
5	5669	5985
5	6187	6257
5	16033	16256
5	21304	21398
5	26525	26689
5	26993	27730
5	33680	33868
5	41878	43178
5	45904	46626
5	51658	51869
5	53354	53579
5	56147	56600
5	58123	58341
5	59322	59484
5	60911	61074
5	63225	63340
5	65240	65299
5	66815	67038
5	68284	70431
5	73380	73617
5	75691	75784
5	77526	78009
5	79955	80527
5	82804	82962
5	84753	85530
5	86361	87059
5	90011	90205
5	97884	98121
5	100132	100681
5	101593	101761
5	106233	106305
5	106770	107285
5	110618	110767
5	111134	111268
5	115898	116117
5	116968	117190
5	117391	118156
5	120434	120512
5	122431	122591
5	122930	123650
5	123898	124441
5	128382	128495
5	131416	131697
5	132661	133103
5	140578	140631
5	141152	141664
5	152754	153347
5	153538	153605
5	159059	159677
5	159954	160520
5	162442	162662
5	171876	172048
5	174338	175299
5	177056	177187
5	177612	177764
5	178562	178774
5	182332	182610
5	184242	184582
5	187884	188464
5	191882	192384
5	192651	192828
5	194017	194202
5	194377	195527
5	196039	196144
5	196686	196949
5	198605	198803
5	200888	201061
5	201753	202383
5	204665	205270
5	208518	208808
5	210299	210528
5	211495	211832
5	212039	212345
5	213186	213506
5	214741	215010
5	221527	221839
5	222181	222625
5	223060	223298
5	225215	226020
5	227124	227228
5	228247	228400
5	229370	229980
5	234657	234837
5	236828	237556
5	238079	238563
5	239819	239913
5	241702	243146
5	246670	246895
5	248208	248457
5	249846	249907
5	250241	250629
5	251379	251690
5	254418	254636
5	258113	258388
5	260109	260464
5	261366	261862
5	264057	264867
5	265954	266287
5	268285	268784
5	271556	271754
5	272269	272431
5	280171	280221
5	280843	281533
5	283598	283660
5	284469	285075
5	287124	287393
5	291510	291853
5	292460	293095
5	294940	295391
5	298405	298691
5	303385	303870
5	311122	312059
5	313685	314106
5	316577	316767
5	318150	319117
5	319732	319966
5	321923	322588
5	326008	326207
5	327029	327284
5	328135	328443
5	332900	333075
5	334441	336383
5	337626	337901
5	339507	339575
5	342325	342828
5	349410	350127
5	351340	351526
5	354891	355258
5	359074	359546
5	362230	362641
5	364088	364517
5	367065	367150
5	372052	372276
5	373024	373136
5	374760	374942
5	377365	378656
5	382355	382487
5	386853	387137
5	390210	390284
5	394025	394252
5	396428	396646
5	399218	399457
5	400669	401251
5	402148	402426
5	404381	404644
5	406406	406924
5	409181	409885
5	414132	414707
5	414758	414855
5	415669	415846
5	416493	416899
5	418686	418853
5	422561	422827
5	423156	423423
5	424441	424585
5	430735	431577
5	432219	432454
5	432847	433118
5	435626	435758
5	438951	439583
5	441906	442682
5	443623	443781
5	448307	448507
5	449246	449320
5	451331	451588
5	453101	453484
5	456040	456288
5	460246	460464
5	460911	462574
5	462785	463715
5	464932	465096
5	467477	468360
5	472517	472817
5	473650	475289
5	482807	483339
5	484212	484781
5	487290	487444
5	490717	491779
5	492074	492173
5	497399	497581
5	503860	504035
5	509961	510138
5	512295	512449
5	517579	517810
5	522700	523149
5	525723	525939
5	526793	526914
5	541434	541586
5	545202	545514
5	546569	546728
5	548198	548313
5	559116	559320
5	560448	560622
5	570292	571043
5	571570	572008
5	573010	573447
6	1020	1232
6	1493	1755
6	2319	2485
6	2676	2761
6	3795	4585
6	16539	16695
6	19610	19854
6	27402	28321
6	30379	31580
6	32026	32773
6	36053	36820
6	38550	38671
6	40210	40426
6	42653	42770
6	44432	44709
6	47718	47929
6	48441	48558
6	48922	49210
6	51160	51265
6	54444	55308
6	56029	56295
6	57918	58486
6	64106	64162
6	65032	65288
6	74152	75253
6	75553	75734
6	76104	77374
6	77742	77946
6	80212	80420
6	81917	82380
6	87319	87519
6	90413	90882
6	93779	93949
6	94788	96748
6	98066	98178
6	98796	99106
6	103225	103685
6	106080	107215
6	107822	108023
6	109989	110190
6	111826	112136
6	113867	114796
6	115545	116262
6	118693	119416
6	123217	123316
6	129937	130197
6	131143	131994
6	136959	137648
6	138431	138614
6	144220	144335
6	147017	147116
6	149812	149917
6	153203	153358
6	155879	156348
6	157803	158154
6	159096	159478
6	160138	160509
6	160888	160993
6	162085	162616
6	164803	164997
6	167256	167739
6	169262	169870
6	173373	174183
6	176313	177184
6	181926	182764
6	182974	183337
6	183665	184503
6	191332	192987
6	194101	195011
6	196236	196851
6	198992	199973
6	203121	205157
6	205679	206599
6	207071	207512
6	207752	207934
6	209774	211323
6	212960	213519
6	220147	220353
6	221506	222015
6	223850	224194
6	224631	227609
6	228908	229670
6	233382	234221
6	237420	237594
6	238242	238418
6	239742	239945
6	241436	241984
6	244040	244297
6	245145	245437
6	245828	246132
6	248104	248357
6	249964	250025
6	251839	252459
6	255170	256367
6	261080	261297
6	261585	261751
6	262810	264239
6	268410	268611
6	269922	270061
7	10296	10459
7	20512	20742
7	22156	22468
7	23303	23934
7	31629	31864
7	35311	35498
7	38825	39015
7	41221	41442
7	43226	43350
7	45236	45430
7	48424	48595
7	49405	49486
7	53615	53823
7	54167	54562
7	55914	56407
7	57079	57296
7	58931	59075
7	61909	62002
7	67196	67468
7	73849	73937
7	74473	74738
7	75649	77039
7	79034	79189
7	80371	80670
7	81204	81468
7	82257	82485
7	84270	84649
7	87279	87510
7	91284	91452
7	92356	92514
7	93570	93776
7	94629	95693
7	96926	97353
7	98650	98894
7	107600	107985
7	112105	112319
7	114728	114980
7	115314	116053
7	120928	121236
7	121822	122608
7	122921	123919
7	124223	124785
7	129526	129789
7	131283	131469
7	140119	140165
7	141737	142225
7	144249	144772
7	147732	148093
7	149144	149251
7	152904	153067
7	156289	156503
7	157408	157718
7	159205	159645
7	165054	166979
7	167452	167878
7	173101	173738
7	174264	174564
7	180435	180697
7	182189	182277
7	185768	185971
7	190191	190378
7	190818	191266
7	191787	191975
7	193362	193464
7	196093	198487
7	200086	200550
7	202526	202629
7	205428	207234
7	208718	208911
7	210075	210386
7	213822	213945
7	216051	216252
7	217270	217506
7	225208	226712
7	228524	228635
7	229752	230179
7	234509	234737
7	235854	236133
7	238131	238357
7	244959	245618
7	249313	250103
7	253885	254574
7	255291	255815
7	257189	257605
7	265883	266107
7	269012	269369
7	270757	273302
7	277028	277490
7	280560	280776
7	281296	281471
7	284014	284365
7	287098	287561
7	288148	288541
7	289360	289627
7	291692	291900
7	293012	293452
7	295684	295890
7	299712	300123
7	303452	303814
7	304100	304290
7	306140	306568
7	307156	307435
7	310224	310839
7	312042	312126
7	313052	313139
7	317167	317217
7	319858	319951
7	320874	321158
7	321485	321705
7	323911	324214
7	324642	325210
7	325764	325972
7	326380	326734
7	328573	328737
7	330579	330973
7	334565	334994
7	337617	337790
7	343086	343316
7	345596	346002
7	346891	347325
7	352289	353206
7	355511	356022
7	357042	357426
7	357657	357809
7	358324	358648
7	359282	359381
7	364109	364248
7	366084	366343
7	368134	368757
7	370998	371786
7	374867	375085
7	375892	376003
7	377236	377416
7	381314	381716
7	381890	382102
7	382897	385691
7	389797	389916
7	391996	392195
7	393636	394069
7	395754	395962
7	397288	398984
7	400468	400507
7	400609	400666
7	401318	401622
7	404350	404785
7	405508	405774
7	409780	409961
7	411310	411508
7	412226	412399
7	412704	414415
7	417217	417542
7	418652	418769
7	420503	421253
7	421861	422068
7	423083	423757
7	426899	427201
7	427846	428780
7	432798	434179
7	434948	435038
7	435404	435566
7	438462	438941
7	439854	439968
7	440650	440719
7	443069	443822
7	446165	446355
7	448375	448806
7	449729	450190
7	451493	452815
7	454586	454795
7	457725	458531
7	459163	460428
7	461218	461856
7	464953	465941
7	471898	473284
7	475174	475526
7	478537	479296
7	482085	482154
7	482724	485640
7	491973	492153
7	494255	494445
7	499923	500098
7	508507	508718
7	516356	516588
7	523421	523620
7	524753	525022
7	525694	525780
7	526722	526829
7	527402	527578
7	528375	529059
7	532662	532862
7	536560	536774
7	544968	545158
7	546173	546388
7	546742	548443
7	557593	557978
7	558994	559195
7	560034	560487
7	561813	562225
7	566727	566960
7	567688	567779
7	574052	574093
7	576438	577046
7	581465	582396
7	584086	584799
7	589184	589779
7	591002	591177
7	592377	593324
7	595978	596100
7	596306	596467
7	598549	599842
7	601302	601705
7	605585	606122
7	609002	610989
7	616056	616355
7	617207	617474
7	617819	618032
7	619841	620419
7	621918	622117
7	624595	626477
7	627035	627913
7	634164	634236
7	635512	635686
7	639524	641097
7	641809	641947
7	643775	644026
7	646898	647001
7	648146	648255
7	650487	652043
7	653202	653473
7	654005	654410
7	656488	656647
7	661738	662151
7	666162	666289
7	667815	668058
7	670116	670304
7	671925	672248
7	676412	678783
7	687684	687824
7	690017	690128
7	693131	693348
7	695092	695368
7	699825	700066
7	700712	700905
7	701595	701761
7	702531	703499
7	706666	707200
7	708564	708643
7	712518	712834
7	713447	713667
7	717194	717270
7	718682	718801
7	720174	720219
7	726535	726930
7	729779	729958
7	730860	731298
7	732358	734087
7	738288	738449
7	738976	739914
7	741926	742240
7	745195	745263
7	745550	745701
7	746508	746757
7	750232	750314
7	754035	754560
7	756529	756878
7	761215	761294
7	762201	762416
7	765505	767480
7	770360	770459
7	771993	772297
7	774406	774892
7	779915	780111
7	781550	781597
7	784055	784116
7	785111	786128
7	786996	787222
7	788242	788945
7	792982	793328
7	794278	794467
7	795467	795997
7	797571	798768
7	800133	800473
7	801427	802623
7	806151	806250
7	807878	808062
7	809247	810369
7	810809	811151
7	811969	812147
7	822286	822509
7	823671	823936
7	828724	829000
7	830308	830345
7	832245	832377
7	834573	834680
7	836394	837268
7	840462	840617
7	843595	843809
7	845586	845737
7	846340	846486
7	847942	849893
7	850796	850938
7	853499	853608
7	855038	855105
7	856299	857354
7	857716	857857
7	859573	859772
7	866142	866311
7	867561	867706
7	871532	871673
7	875180	875341
7	875802	875921
7	878419	878788
7	879417	879658
7	879912	880165
7	882263	882451
7	884043	884245
7	887855	888698
7	892357	892402
7	894265	894834
7	902321	902716
7	903172	903279
7	903596	903745
7	904531	906581
7	908697	909320
7	910237	910444
7	911624	911861
7	913184	914052
7	914585	915461
7	916847	917064
7	919671	920487
7	921929	922055
7	924462	924807
7	932096	932224
7	936883	937121
7	939175	939379
7	939653	939889
7	942303	942649
7	944825	945038
7	947140	947325
7	950996	951975
7	953561	953845
7	958404	960024
7	962158	962268
7	965756	965873
7	968457	969688
7	970081	970564
7	974040	974341
7	976810	977275
7	978167	978211
7	979449	979659
7	982190	982321
7	984316	984816
7	986653	987855
7	989665	990408
7	993585	994607
7	995407	995538
7	1000024	1000569
7	1004065	1004498
7	1007452	1007600
7	1010835	1012493
7	1013245	1013387
7	1016806	1016951
7	1017769	1017975
7	1021952	1022566
